request_id,user_id,garage_id,garage_name,service_type,description,request_date,request_district,request_latitude,request_longitude,mechanic_district,mechanic_latitude,mechanic_longitude,distance_km,status,completion_date,duration_hours,estimated_cost_rwf,actual_cost_rwf,response_time_minutes,payment_method,payment_status,emergency_request
REQ00033,USR0367,4037,MUGENZI SERVICES GARAGE,Air Conditioning,Clutch not engaging,3/30/2026 19:04,Rubavu,-1.65371,29.245022,Rubavu,-1.714461,29.299162,9.05,Completed,4/2/2026 7:04,60,179460,80978,115,Cash,Paid,Yes
REQ00034,USR0905,8097,East Africa Engine Car Center,Tire & Wheel,Suspension noise,6/2/2026 3:24,Kicukiro,-2.013303,30.052271,Kicukiro,-1.931449,30.17728,16.61,Pending,6/2/2026 16:24,6,197738,201854,139,Bank Transfer,Pending,No
REQ00035,USR0850,6303,Africa Car Auto Garage,Air Conditioning,Radiator leaking,4/21/2026 4:03,Ngoma,-2.223791,30.530025,Ngoma,-2.115165,30.600586,14.4,Completed,4/24/2026 22:03,90,191279,130259,39,Cash,Paid,No
REQ00036,USR0019,4588,Pro Motor Works,Exhaust System,AC not cooling,2/28/2026 0:27,Gasabo,-1.950647,30.085125,Gasabo,-1.949954,30.104428,2.15,Completed,3/2/2026 14:27,62,177611,158223,48,Cash,Paid,No
REQ00037,USR0947,5039,Rwanda Wheel Auto Base,Air Conditioning,Brakes not responding,5/10/2026 8:47,Kicukiro,-2.014769,30.119632,Kicukiro,-1.931944,30.052399,11.86,Cancelled,5/10/2026 20:47,0,158512,0,105,N/A,Pending,No
REQ00038,USR0177,4304,NDAGIJIMANA AUTOFIX AUTO,Brake System,Oil leak detected,6/28/2026 6:28,Bugesera,-2.193796,30.120302,Bugesera,-2.018146,30.334497,30.79,Completed,7/1/2026 3:28,69,97449,196191,174,Bank Transfer,Paid,No
REQ00039,USR0173,9496,BIZIMANA AUTOFIX GARAGE,Electrical Systems,Clutch not engaging,4/10/2026 20:10,Rubavu,-1.659155,29.23789,Rubavu,-1.613552,29.294587,8.09,In Progress,4/12/2026 20:10,9,112790,92299,53,Cash,Unpaid,No
REQ00040,USR0902,985,Top Vehicle Service,Electrical Systems,Gearbox issues,1/20/2026 17:57,Kirehe,-2.408759,30.743142,Kirehe,-2.334733,30.569824,20.94,Completed,1/21/2026 14:57,21,76703,27856,78,Bank Transfer,Paid,No
REQ00041,USR0609,4199,MUGABO AUTOFIX GARAGE,Welding,Radiator leaking,1/21/2026 21:15,Nyanza,-2.294627,29.771953,Nyanza,-2.337078,29.75036,5.3,Pending,1/22/2026 14:15,15,108394,124284,48,Mobile Money,Pending,No
REQ00042,USR0041,1756,Rusizi Car Fix Kigali,Engine Repair,Electrical fault,9/28/2026 18:31,Kicukiro,-1.933082,30.127875,Kicukiro,-2.036976,30.06858,13.3,Completed,9/30/2026 4:31,34,18792,157230,97,Cash,Paid,No
REQ00043,USR0190,6712,Pro Auto Tech Motor Works,Bodywork,Car won't start,1/11/2026 7:49,Ngoma,-2.11096,30.480885,Ngoma,-2.154884,30.596034,13.7,Completed,1/11/2026 13:49,6,193003,65712,162,Mobile Money,Paid,Yes
REQ00044,USR0756,2375,Western Auto Clinic,Transmission Repair,Gearbox issues,5/12/2026 2:44,Rubavu,-1.744577,29.324416,Rubavu,-1.6540026,29.3115551,10.17,Pending,5/12/2026 23:44,24,102186,88397,56,Mobile Money,Pending,No
REQ00045,USR0138,6871,NZEYIMANA AUTO GARAGE,Brake System,Brakes not responding,4/7/2026 17:43,Nyanza,-2.367076,29.692378,Nyanza,-2.322803,29.779959,10.9,In Progress,4/10/2026 3:43,10,160159,167150,61,Cash,Unpaid,Yes
REQ00046,USR0712,2005,Red Auto Solutions,Tire & Wheel,Exhaust pipe broken,10/14/2026 5:57,Kicukiro,-1.972078,30.067677,Kicukiro,-1.9699827,30.1297653,6.9,Completed,10/15/2026 0:57,19,132363,177772,14,Cash,Paid,No
REQ00047,USR0288,4989,IYAMUREMYE AUTO WORKSHOP,Welding,Radiator leaking,6/22/2026 6:33,Nyarugenge,-1.921471,30.075682,Nyarugenge,-1.990444,30.03501,8.9,Cancelled,6/22/2026 14:33,0,19389,0,126,N/A,Unpaid,No
REQ00048,USR0401,7195,Quality Auto Hub,Tire & Wheel,Suspension noise,12/6/2026 6:07,Musanze,-1.510865,29.650369,Musanze,-1.535818,29.593777,6.88,Cancelled,12/6/2026 21:07,0,7706,0,8,N/A,Cancelled,No
REQ00049,USR0234,5662,FCX Motor Works & Sons,Suspension & Steering,Brakes not responding,9/27/2026 11:12,Ngoma,-2.134862,30.516972,Ngoma,-2.130929,30.534667,2.01,Completed,9/29/2026 18:12,55,121573,116571,173,Mobile Money,Paid,No
REQ00050,USR0690,1114,Green Repair Center 9,Exhaust System,Car won't start,11/16/2026 8:48,Bugesera,-2.186839,30.068323,Bugesera,-2.145722,30.12168,7.49,Completed,11/16/2026 23:48,15,173536,166800,71,Cash,Paid,Yes
REQ00051,USR0989,6351,EJU Auto Services LTD,Transmission Repair,Check engine light on,4/10/2026 12:31,Bugesera,-2.171202,30.125972,Bugesera,-2.012462,30.34408,29.98,Completed,4/14/2026 8:31,92,106997,96479,75,Cash,Paid,Yes
REQ00052,USR0938,1295,Thousand Hills Auto,Electrical Systems,Exhaust pipe broken,11/2/2026 10:48,Rwamagana,-2.005524,30.44227,Rwamagana,-2.00351,30.468818,2.96,In Progress,11/2/2026 19:48,72,128173,113798,173,Cash,Unpaid,No
REQ00053,USR0489,9903,MUREKATETE AUTO GARAGE,Engine Repair,Radiator leaking,10/14/2026 19:03,Gasabo,-1.949529,30.136014,Gasabo,-1.86245,30.071586,12.04,Cancelled,10/15/2026 3:03,0,186546,0,58,N/A,Unpaid,No
REQ00054,USR0185,5679,Kigali Ride Workshop,Exhaust System,Transmission slipping,3/11/2026 21:49,Gasabo,-1.928376,30.09591,Gasabo,-1.84082,30.148752,11.37,Completed,3/12/2026 6:49,9,90929,94176,30,Bank Transfer,Paid,No
REQ00055,USR0021,3977,Umurava Moto Tech,Diagnostic Scanning,Windshield wiper motor failure,2/7/2026 1:05,Muhanga,-2.156351,29.823369,Muhanga,-2.1131792,29.7841836,6.48,Pending,2/9/2026 17:05,3,54489,61138,49,Mobile Money,Unpaid,No
REQ00056,USR0043,4907,Africa Auto Auto World,Tire & Wheel,Exhaust pipe broken,9/20/2026 1:35,Rulindo,-1.684762,30.003237,Rulindo,-1.682432,29.979304,2.67,Completed,9/21/2026 6:35,29,85649,74889,73,Mobile Money,Paid,No
REQ00057,USR0173,4144,FKE Service Center,Exhaust System,Flat tire replacement,2/22/2026 8:40,Rubavu,-1.682135,29.258513,Rubavu,-1.723533,29.293607,6.03,Completed,2/24/2026 3:40,43,136329,106900,151,Cash,Paid,No
REQ00058,USR0584,9177,East Africa Car Autocare,Air Conditioning,Clutch not engaging,1/17/2026 17:55,Nyanza,-2.348524,29.735758,Nyanza,-2.334266,29.782953,5.48,Completed,1/19/2026 7:55,38,101920,64085,101,Mobile Money,Paid,No
REQ00059,USR0573,5671,Perfect Auto Stop,Welding,Oil leak detected,3/6/2026 9:49,Rwamagana,-1.982623,30.40642,Rwamagana,-1.958543,30.441114,4.69,Completed,3/8/2026 21:49,60,56867,140192,116,Bank Transfer,Paid,No
REQ00060,USR0065,5144,MUU Garage Ltd,Diagnostic Scanning,Gearbox issues,1/19/2026 18:40,Kayonza,-1.890996,30.56389,Kayonza,-1.877017,30.624885,6.95,Completed,1/21/2026 14:40,44,136297,93399,165,Cash,Paid,No
REQ00061,USR0760,4749,Expert Motor Auto Masters,Brake System,Battery replacement,2/21/2026 4:39,Nyanza,-2.307793,29.803386,Nyanza,-2.314168,29.769175,3.87,Completed,2/23/2026 7:39,51,66461,89223,156,Bank Transfer,Paid,Yes
REQ00062,USR0856,2329,Super Auto Garage,Transmission Repair,Transmission slipping,2/20/2026 11:44,Rulindo,-1.721354,30.007372,Rulindo,-1.6824252,29.9639469,6.48,Pending,2/21/2026 3:44,14,144888,168831,24,Mobile Money,Unpaid,No
REQ00063,USR0052,2941,Super Car Repair,Bodywork,Radiator leaking,1/29/2026 5:07,Rulindo,-1.702442,30.034997,Rulindo,-1.6970574,29.9339166,11.25,Pending,1/31/2026 14:07,21,198210,175426,29,Mobile Money,Unpaid,No
REQ00064,USR0467,6421,New Motor Auto Base,Suspension & Steering,Exhaust pipe broken,3/22/2026 18:05,Gasabo,-1.882761,30.117238,Gasabo,-1.977604,30.024783,14.72,Completed,3/23/2026 22:05,28,18429,108856,101,Mobile Money,Paid,No
REQ00065,USR0864,9592,Reliable Vehicle Auto Workshop,Suspension & Steering,Exhaust pipe broken,6/29/2026 21:14,Ngoma,-2.220607,30.564882,Ngoma,-2.080375,30.544589,15.76,Completed,7/2/2026 3:14,54,39438,183110,104,Mobile Money,Paid,No
REQ00066,USR0567,2734,Gem Motors,Bodywork,Brakes not responding,4/15/2026 7:17,Ngoma,-2.233266,30.499873,Ngoma,-2.2286922,30.5970866,10.81,Completed,4/16/2026 22:17,39,141175,102718,137,Bank Transfer,Paid,Yes
REQ00067,USR0961,4639,NDAYISABA Auto Services Sarl,Oil Change,Oil leak detected,8/20/2026 16:48,Huye,-2.618071,29.786171,Huye,-2.590277,29.669777,13.29,In Progress,8/20/2026 21:48,34,156221,133702,33,Bank Transfer,Pending,No
REQ00068,USR0343,7750,Rwanda Road Auto Base,Tire & Wheel,Fuel pump failure,12/6/2026 22:04,Nyanza,-2.389258,29.812464,Nyanza,-2.303575,29.768334,10.72,Pending,12/7/2026 7:04,48,10356,10706,79,Bank Transfer,Pending,No
REQ00069,USR0422,9073,Alpha Auto Stop,Air Conditioning,Gearbox issues,10/27/2026 12:05,Kirehe,-2.377635,30.66271,Kirehe,-2.14944,30.811949,30.31,Completed,10/27/2026 17:05,5,190044,70006,118,Cash,Paid,No
REQ00070,USR0607,2878,National Spare Parts & Garage,Engine Repair,Transmission slipping,1/17/2026 14:23,Ngoma,-2.071512,30.429629,Ngoma,-2.1624767,30.5013159,12.87,Completed,1/19/2026 17:23,51,173981,120351,175,Mobile Money,Paid,Yes
REQ00071,USR0838,9724,Modern Car Clinic,Brake System,Clutch not engaging,1/1/2026 16:16,Gasabo,-1.964611,30.077212,Gasabo,-1.89185,30.110245,8.88,Cancelled,1/1/2026 23:16,0,40557,0,51,N/A,Cancelled,No
REQ00072,USR0431,9946,DKL Mechanics,Bodywork,Battery replacement,1/8/2026 11:15,Musanze,-1.437332,29.669777,Musanze,-1.492778,29.581401,11.6,Pending,1/9/2026 22:15,15,26307,31540,162,Cash,Pending,No
REQ00073,USR0521,915,Central Repair Center Rubavu,Air Conditioning,Flat tire replacement,2/26/2026 16:49,Rubavu,-1.617473,29.322951,Rubavu,-1.758836,29.273181,16.66,In Progress,3/2/2026 7:49,12,136696,150682,89,Bank Transfer,Pending,Yes
REQ00074,USR0397,5240,Total Road Car Care,Exhaust System,Flat tire replacement,11/15/2026 20:07,Nyarugenge,-1.964726,30.076761,Nyarugenge,-1.967518,30.06567,1.27,Pending,11/16/2026 2:07,44,84870,82227,179,Cash,Pending,No
REQ00075,USR0410,8823,UWIMANA Workshop Co.,Air Conditioning,Car won't start,5/4/2026 4:47,Rwamagana,-1.927367,30.412312,Rwamagana,-1.980105,30.503721,11.73,Pending,5/5/2026 0:47,30,180831,182937,168,Bank Transfer,Unpaid,No
REQ00076,USR0143,1067,Vibe Car Clinic Byumba,Oil Change,Strange noise from engine,7/3/2026 5:25,Gicumbi,-1.520642,30.002492,Gicumbi,-1.612494,30.140487,18.43,Cancelled,7/4/2026 3:25,0,73776,0,170,N/A,Cancelled,No
REQ00077,USR0784,354,Drive Auto Clinic,Exhaust System,Exhaust pipe broken,5/1/2026 18:42,Rwamagana,-1.888846,30.393736,Rwamagana,-2.003603,30.467899,15.19,In Progress,5/2/2026 16:42,69,12796,14080,109,Bank Transfer,Unpaid,No
REQ00078,USR0192,2189,Platinum Motor Garage,Brake System,Fuel pump failure,4/6/2026 1:24,Rulindo,-1.677022,30.014525,Rulindo,-1.6989102,29.927501,9.97,Cancelled,4/6/2026 7:24,0,47692,0,152,N/A,Cancelled,Yes
REQ00079,USR0486,7678,Rwanda Auto Care Car Clinic,Electrical Systems,Power steering failure,6/20/2026 8:02,Rwamagana,-1.994902,30.443914,Rwamagana,-1.947779,30.50029,8.17,Pending,6/20/2026 18:02,28,166404,143650,25,Cash,Pending,No
REQ00080,USR0503,8517,CMM Car Repair & Sons,Exhaust System,Electrical fault,5/22/2026 19:22,Ngoma,-2.204642,30.455858,Ngoma,-2.093128,30.606728,20.85,Completed,5/26/2026 13:22,90,58496,66179,123,Mobile Money,Paid,No
REQ00081,USR0756,4981,GET Car Repair Ltd,Exhaust System,Overheating engine,1/10/2026 10:31,Rubavu,-1.635615,29.335492,Rubavu,-1.608694,29.244848,10.51,In Progress,1/12/2026 19:31,65,165103,182403,72,Mobile Money,Pending,No
REQ00082,USR0602,4966,MANIRIHO MOTORS WORKSHOP,Transmission Repair,Windshield wiper motor failure,9/3/2026 0:47,Musanze,-1.556976,29.55223,Musanze,-1.454712,29.63204,14.42,Completed,9/6/2026 20:47,92,145394,185083,175,Mobile Money,Paid,Yes
REQ00083,USR0691,190,HR Auto Mods Ltd Office,Suspension & Steering,Starter motor issues,1/4/2026 19:06,Muhanga,-2.123255,29.691092,Muhanga,-2.0933973,29.7569697,8.04,Completed,1/8/2026 11:06,88,186489,10053,33,Cash,Paid,No
REQ00084,USR0794,6642,East Africa Road Auto Repair,Engine Repair,Fuel pump failure,10/12/2026 4:33,Gasabo,-1.95538,30.08576,Gasabo,-1.930887,30.152954,7.95,In Progress,10/13/2026 1:33,39,161975,184112,50,Mobile Money,Pending,No
REQ00085,USR0840,4379,Smart Workshop,Engine Repair,Battery replacement,11/13/2026 6:09,Rulindo,-1.698918,30.082979,Rulindo,-1.706261,29.964542,13.19,Completed,11/15/2026 6:09,48,164189,144067,46,Cash,Paid,No
REQ00086,USR0575,2585,Habimana Motor Clinic,Suspension & Steering,Gearbox issues,3/7/2026 8:13,Nyanza,-2.31134,29.774465,Nyanza,-2.3896139,29.7350439,9.74,Cancelled,3/7/2026 12:13,0,19235,0,42,N/A,Cancelled,Yes
REQ00087,USR0478,4284,Alpha Gear Auto Center,Exhaust System,Power steering failure,4/16/2026 23:04,Gasabo,-1.881322,30.040727,Gasabo,-1.928027,30.140735,12.27,Completed,4/19/2026 12:04,61,6462,106283,167,Cash,Paid,No
REQ00088,USR0680,937,Auto Car Workshop Rubavu,Bodywork,Windshield wiper motor failure,6/26/2026 22:25,Rubavu,-1.61159,29.243613,Rubavu,-1.597965,29.283189,4.65,Completed,6/29/2026 18:25,68,18580,31989,102,Bank Transfer,Paid,No
REQ00089,USR0904,5194,Urban Ride Auto Workshop,Bodywork,AC not cooling,6/21/2026 10:13,Gicumbi,-1.60981,30.047717,Gicumbi,-1.542969,30.068424,7.78,Cancelled,6/21/2026 22:13,0,176455,0,135,N/A,Pending,No
REQ00090,USR0002,6337,RUTAGANDA AUTO WORKSHOP,Engine Repair,Check engine light on,11/28/2026 3:17,Muhanga,-2.0071,29.715831,Muhanga,-2.072888,29.730655,7.5,Cancelled,11/28/2026 21:17,0,129768,0,18,N/A,Cancelled,No
REQ00091,USR0423,6144,TUYISENGE MOTORS AUTO,Oil Change,Flat tire replacement,4/8/2026 11:03,Rubavu,-1.612031,29.183978,Rubavu,-1.666259,29.214366,6.91,Completed,4/8/2026 18:03,7,13149,139526,166,Bank Transfer,Paid,Yes
REQ00092,USR0531,5393,East Africa Road Auto Stop,Electrical Systems,Fuel pump failure,4/12/2026 21:22,Gasabo,-1.893923,30.037708,Gasabo,-1.90137,30.039196,0.84,In Progress,4/16/2026 16:22,1,44379,46135,140,Mobile Money,Pending,No
REQ00093,USR0564,45,Spare Fam Ltd,Tire & Wheel,Car won't start,4/4/2026 19:01,Huye,-2.650352,29.728676,Huye,-2.6038612,29.7395168,5.31,Completed,4/6/2026 13:01,42,178149,10043,122,Mobile Money,Paid,No
REQ00094,USR0975,9777,Prime Motor Auto Stop,Bodywork,Exhaust pipe broken,10/13/2026 14:27,Bugesera,-2.150791,30.246605,Bugesera,-2.002507,30.340096,19.49,Pending,10/14/2026 2:27,20,170503,152733,75,Cash,Pending,Yes
REQ00095,USR0430,6265,NTIRENGANYA Auto Garage Ltd,Diagnostic Scanning,Check engine light on,1/4/2026 9:21,Gicumbi,-1.509128,30.043476,Gicumbi,-1.514508,30.125588,9.15,Completed,1/8/2026 1:21,88,193542,162244,103,Mobile Money,Paid,No
REQ00096,USR0820,7720,Star Auto Garage,Electrical Systems,Clutch not engaging,9/22/2026 22:09,Huye,-2.667503,29.68528,Huye,-2.614262,29.676956,5.99,Completed,9/23/2026 0:09,2,13675,144036,39,Mobile Money,Paid,No
REQ00097,USR0640,4563,East Africa Auto Tech Motor Garage,Bodywork,Radiator leaking,12/9/2026 19:42,Gasabo,-1.870469,30.120618,Gasabo,-1.877535,30.127343,1.08,Completed,12/10/2026 18:42,23,56018,181296,72,Cash,Paid,No
REQ00098,USR0224,1466,Delta Auto Solutions,Bodywork,Oil leak detected,8/15/2026 14:47,Gasabo,-1.906308,30.097722,Gasabo,-1.941008,30.143606,6.39,Pending,8/15/2026 17:47,6,173276,189350,69,Bank Transfer,Unpaid,No
REQ00099,USR0922,3370,Valley Auto Center,Engine Repair,Overheating engine,5/7/2026 4:12,Rulindo,-1.671162,30.086497,Rulindo,-1.7641134,29.9499987,18.36,Completed,5/11/2026 3:12,95,178519,177425,41,Cash,Paid,No
REQ00100,USR0674,3967,Prime Auto Station,Exhaust System,Car won't start,8/3/2026 21:18,Rubavu,-1.700131,29.248141,Rubavu,-1.6708206,29.2461035,3.27,Completed,8/7/2026 2:18,77,158502,28599,44,Mobile Money,Paid,No
REQ00101,USR0373,2899,Munyakazi Car Clinic,Tire & Wheel,Windshield wiper motor failure,1/14/2026 21:51,Musanze,-1.475691,29.688799,Musanze,-1.5025347,29.6699962,3.64,Completed,1/16/2026 8:51,35,123318,111186,20,Mobile Money,Paid,No
REQ00102,USR0665,4193,Golden Road Autocare,Electrical Systems,Gearbox issues,11/28/2026 6:41,Nyanza,-2.400346,29.697866,Nyanza,-2.327315,29.733831,9.05,Completed,11/29/2026 20:41,38,103417,88426,39,Bank Transfer,Paid,No
REQ00103,USR0044,9585,MUGABO Garage Sarl,Welding,Battery replacement,7/5/2026 6:07,Muhanga,-2.040638,29.800651,Muhanga,-2.065253,29.746463,6.61,Completed,7/7/2026 13:07,55,136395,25751,141,Cash,Paid,No
REQ00104,USR0798,1752,Rwanda Auto Solutions Rulindo,Engine Repair,Gearbox issues,3/8/2026 10:48,Rulindo,-1.799351,30.085109,Rulindo,-1.817017,30.04233,5.14,Cancelled,3/8/2026 19:48,0,109885,0,74,N/A,Cancelled,No
REQ00105,USR0122,3569,Phoenix Car Pro,Oil Change,Gearbox issues,6/4/2026 9:28,Rulindo,-1.786612,30.121946,Rulindo,-1.6912413,30.0371062,14.19,In Progress,6/4/2026 14:28,61,140730,165884,99,Cash,Unpaid,No
